Date,Close,High,Low,Open,Volume
3/4/2010,15.95057011,16.0842351,15.92829261,15.92829261,1242534
3/7/2010,15.99512005,16.06195105,15.95056506,15.95056506,1251737
3/8/2010,16.03968048,16.03968048,15.97284798,16.01740298,770200
3/9/2010,15.95057011,16.0396801,15.90601511,15.99512511,1600094
3/10/2010,15.9060173,16.03968232,15.77235376,15.92829481,2646293
3/11/2010,16.01740074,16.03967824,15.90601326,15.95056825,4513694
3/14/2010,16.03968048,16.08423548,15.97284798,15.97284798,1059513
3/15/2010,15.99512005,16.03967503,15.95056506,16.01739754,431436
3/16/2010,16.03968048,16.03968048,15.92829298,15.95057048,3141735
3/17/2010,16.03968048,16.03968048,16.03968048,16.03968048,0
3/18/2010,16.21790123,16.57433833,15.99512768,16.03968268,7693066
3/21/2010,16.19562149,16.28473149,16.15106649,16.15106649,813110
3/22/2010,16.21790123,16.24017873,16.17334622,16.19562373,544129
3/23/2010,16.15106964,16.24017966,16.15106964,16.19562465,757492
3/24/2010,16.21790123,16.26245624,16.15106872,16.17334622,637392
3/25/2010,16.21790123,16.32928727,16.03968268,16.30701124,1400002
3/28/2010,16.39611816,16.41839566,16.06195713,16.06195713,920303
3/29/2010,16.39611816,16.39611816,16.39611816,16.39611816,0
3/30/2010,16.39611816,16.39611816,16.39611816,16.39611816,0
3/31/2010,17.06443787,17.19810288,16.7971108,16.7971108,2379376
4/1/2010,17.1758213,17.3317623,17.08671279,17.1980988,4244358
4/4/2010,17.1758213,17.1758213,17.1758213,17.1758213,0
4/5/2010,17.1758213,17.1758213,17.1758213,17.1758213,0
4/6/2010,17.39859772,17.44315272,17.28721169,17.37632022,1680311
4/7/2010,17.39859772,17.59909374,17.37632022,17.46543022,1941711
4/8/2010,17.28721237,17.3985984,17.13127134,17.3985984,1991856
4/11/2010,17.19810104,17.44315206,17.10899252,17.33176456,1114792
4/12/2010,16.68572044,17.15354343,16.61888796,17.13126741,2518958
4/13/2010,17.06443787,17.30948891,16.39611872,16.41839622,2778138
4/14/2010,17.19810104,17.28721104,17.08671502,17.17582354,1412432
4/15/2010,17.26493263,17.30948615,17.13126912,17.13126912,1299627
4/18/2010,17.24265289,17.28720788,17.1980979,17.28720788,952675
4/19/2010,17.15354347,17.24265346,17.10898996,17.15354347,283466
4/20/2010,17.26493263,17.30948615,17.15354514,17.19810014,808417
4/21/2010,17.06443787,17.26493538,17.04216184,17.26493538,659840
4/22/2010,17.39859772,17.50998374,16.95305067,16.95305067,1405649
4/25/2010,17.39859772,17.39859772,17.39859772,17.39859772,0
4/26/2010,17.39859772,17.39859772,17.39859772,17.39859772,0
4/27/2010,17.84414291,17.84414291,17.6882019,17.6882019,2319387
4/28/2010,17.93324852,18.0223585,17.79958503,17.79958503,944807
4/29/2010,17.73275757,17.8886986,17.73275757,17.73275757,876066
5/2/2010,17.73275757,17.73275757,17.73275757,17.73275757,0
5/3/2010,17.75503349,17.82186599,17.66592497,17.82186599,328510
5/4/2010,17.82186699,17.84414449,17.68820347,17.73275699,534405
5/5/2010,17.71048164,17.8886987,17.64364914,17.84414517,693573
5/6/2010,17.64364815,17.73275667,17.55453815,17.55453815,980154
5/9/2010,17.64364815,17.64364815,17.64364815,17.64364815,0
5/10/2010,17.77731133,17.82186632,17.3763193,17.3763193,638129
5/11/2010,17.79958916,17.88869768,17.77731166,17.77731166,547954
5/12/2010,17.79958916,17.91097518,17.77731166,17.79958916,1125426
5/13/2010,17.53225899,17.73275499,17.46542797,17.73275499,2214388
5/16/2010,17.26493263,17.44315114,17.26493263,17.28721013,629342
5/17/2010,17.06443787,17.42087642,17.01988434,17.01988434,1677345
5/18/2010,17.10899162,17.24265514,16.90849414,16.99760413,1295689
5/19/2010,17.10899162,17.24265514,17.10899162,17.22037764,1594317
5/20/2010,16.90849686,17.10899437,16.84166583,17.10899437,679894
5/23/2010,16.70799637,16.73027239,16.48522143,16.50749893,999176
5/24/2010,16.75255585,16.79711085,16.57433731,16.70800232,833416
5/25/2010,16.88621521,16.99760121,16.70799673,16.70799673,779021
5/26/2010,16.88621521,16.88621521,16.88621521,16.88621521,0
5/27/2010,16.46295166,16.93077478,16.39611915,16.93077478,1438688
5/30/2010,16.46295166,16.46295166,16.46295166,16.46295166,0
5/31/2010,16.46295166,16.46295166,16.46295166,16.46295166,0
6/1/2010,16.93077469,17.06443823,16.93077469,16.93077469,1149254
6/2/2010,16.75255585,16.97532939,16.75255585,16.97532939,360040
